Date,Price
2022-11-04,242
2022-11-03,242
2022-11-02,248
2022-10-31,250
2022-10-28,250
2022-10-27,256
2022-10-26,244
2022-10-25,242
2022-10-18,242
2022-10-14,240
2022-10-12,236
2022-10-11,236
2022-10-10,238
2022-10-07,242
2022-10-06,238
2022-10-05,232
2022-10-04,232
2022-10-03,226
2022-09-29,230
2022-09-28,232
2022-09-27,238
2022-09-26,240
2022-09-23,240
2022-09-21,248
2022-09-20,246
2022-09-19,248
2022-09-16,252
2022-09-15,250
2022-09-13,246
2022-09-12,250
2022-09-09,248
2022-09-08,250
2022-09-05,254
2022-09-02,256
2022-09-01,254
2022-08-30,250
2022-08-29,248
2022-08-26,258
2022-08-25,256
2022-08-24,254
2022-08-23,254
2022-08-22,260
2022-08-19,260
2022-08-18,260
2022-08-17,254
2022-08-16,248
2022-08-12,242
2022-08-11,242
2022-08-10,242
2022-08-09,240
2022-08-08,242
2022-08-04,238
2022-08-03,244
2022-08-02,240
2022-08-01,246
2022-07-29,244
2022-07-28,248
2022-07-27,252
2022-07-26,254
2022-07-25,256
2022-07-21,246
2022-07-20,244
2022-07-19,244
2022-07-13,246
2022-07-07,250
2022-07-06,250
2022-07-05,252
2022-07-04,254
2022-07-01,252
2022-06-30,250
2022-06-29,254
2022-06-28,258
2022-06-27,258
2022-06-24,260
2022-06-23,260
2022-06-21,262
2022-06-20,262
2022-06-17,264
2022-06-14,268
2022-06-13,264
2022-06-09,272
2022-06-07,274
2022-06-06,272
2022-06-03,268
2022-06-02,268
2022-06-01,262
2022-05-31,264
2022-05-27,274
2022-05-26,274
2022-05-25,276
2022-05-24,274
2022-05-23,276
2022-05-20,276
2022-05-19,276
2022-05-18,276
2022-05-17,278
2022-05-16,276
2022-05-13,278
2022-05-12,276
2022-05-10,282
2022-05-09,282
2022-05-06,284
2022-05-05,290
2022-05-04,286
2022-05-03,284
2022-05-02,286
2022-04-29,282
2022-04-28,282
2022-04-27,284
2022-04-26,282
2022-04-25,284
2022-04-22,284
2022-04-21,286
2022-04-20,284
2022-04-19,284
2022-04-14,284
2022-04-13,282
2022-04-11,290
2022-04-08,286
2022-04-06,286
2022-04-05,284
2022-04-04,282
2022-04-01,282
2022-03-30,286
2022-03-29,290
2022-03-28,284
2022-03-25,280
2022-03-22,286
2022-03-21,290
2022-03-18,284
2022-03-16,286
2022-03-15,280
2022-03-14,278
2022-03-11,274
2022-03-10,268
2022-03-09,262
2022-03-08,254
2022-03-07,256
2022-03-04,266
2022-03-03,272
2022-03-02,276
2022-03-01,276
2022-02-28,284
2022-02-25,284
2022-02-24,274
2022-02-23,286
2022-02-22,286
2022-02-21,294
2022-02-18,292
2022-02-17,296
2022-02-16,298
2022-02-15,292
2022-02-14,288
2022-02-11,296
2022-02-10,298
2022-02-09,300
2022-02-08,296
2022-02-07,298
2022-02-04,300
2022-02-03,296
2022-02-02,300
2022-02-01,296
2022-01-28,296
2022-01-27,296
2022-01-26,296
2022-01-25,296
2022-01-24,290
2022-01-21,300
2022-01-19,304
2022-01-18,302
2022-01-17,298
2022-01-14,298
2022-01-13,298
2022-01-12,300
2022-01-11,306
2022-01-10,308
2022-01-07,310
2022-01-05,310
2022-01-04,310
2022-01-03,310
2021-12-30,300
2021-12-29,300
2021-12-28,302
2021-12-27,302
2021-12-22,304
2021-12-20,302
2021-12-15,308
2021-12-10,302
2021-12-09,304
2021-12-08,300
2021-12-07,302
2021-12-06,302
2021-12-02,300
2021-11-30,302
2021-11-29,300
2021-11-26,298
2021-11-24,300
2021-11-23,300
2021-11-17,300
2021-11-16,298
2021-11-15,300
2021-11-12,300
2021-11-11,300
2021-11-10,298
2021-11-09,298
2021-11-08,300
2021-11-05,304
2021-11-04,302
2021-11-03,304
2021-10-29,308
2021-10-28,320
2021-10-27,316
2021-10-26,318
2021-10-25,312
2021-10-21,310
2021-10-20,314
2021-10-19,314
2021-10-18,316
2021-10-14,318
2021-10-13,318
2021-10-11,316
2021-10-08,316
2021-10-07,314
2021-10-06,316
2021-10-05,320
2021-10-01,320
2021-09-30,314
2021-09-28,318
2021-09-27,316
2021-09-23,314
2021-09-22,316
2021-09-21,316
2021-09-20,310
2021-09-17,312
2021-09-16,314
2021-09-15,316
2021-09-13,318
2021-09-09,320
2021-09-08,318
2021-09-07,322
2021-09-06,316
2021-09-03,316
2021-09-01,318
2021-08-31,314
2021-08-26,312
2021-08-25,304
2021-08-23,306
2021-08-20,304
2021-08-18,306
2021-08-17,308
2021-08-16,310
2021-08-13,310
2021-08-12,310
2021-08-11,316
2021-08-10,312
2021-08-09,312
2021-08-06,312
2021-08-04,312
2021-08-03,312
2021-08-02,314
2021-07-30,308
2021-07-29,312
