Date,Price
2022-11-04,3263.14
2022-11-03,3240.61
2022-11-02,3346.5
2022-10-31,3366.92
2022-10-28,3297.9
2022-10-27,3323.06
2022-10-26,3240.9
2022-10-25,3235.08
2022-10-24,3245.85
2022-10-21,3254.38
2022-10-20,3262.26
2022-10-19,3272.94
2022-10-18,3275.76
2022-10-17,3273.76
2022-10-14,3263.04
2022-10-13,3258.92
2022-10-12,3274.53
2022-10-11,3274.53
2022-10-10,3281.42
2022-10-07,3337.4
2022-10-06,3323.44
2022-10-05,3280.97
2022-10-04,3237.88
2022-10-03,3210.97
2022-09-30,3233.39
2022-09-29,3227.79
2022-09-28,3234.76
2022-09-27,3258.57
2022-09-26,3299.93
2022-09-23,3337.49
2022-09-22,3361.89
2022-09-21,3365.68
2022-09-20,3333.24
2022-09-19,3350.76
2022-09-16,3415.35
2022-09-15,3454.08
2022-09-14,3449.29
2022-09-13,3490.86
2022-09-12,3497.72
2022-09-09,3489.92
2022-09-08,3499.84
2022-09-07,3467.54
2022-09-06,3481.99
2022-09-05,3486.29
2022-09-02,3535.93
2022-09-01,3530.37
2022-08-31,3499.59
2022-08-30,3503.85
2022-08-29,3498.21
2022-08-26,3525.54
2022-08-25,3512.25
2022-08-24,3539.21
2022-08-23,3531.27
2022-08-22,3589.12
2022-08-19,3584.77
2022-08-18,3603.27
2022-08-17,3588.47
2022-08-16,3569.06
2022-08-12,3540.71
2022-08-11,3533.1
2022-08-10,3474.14
2022-08-09,3478.79
2022-08-08,3499.35
2022-08-04,3468.36
2022-08-03,3495.52
2022-08-02,3483.45
2022-08-01,3500.2
2022-07-29,3495.06
2022-07-28,3511.58
2022-07-27,3518.35
2022-07-26,3507.64
2022-07-25,3499.21
2022-07-22,3484.36
2022-07-21,3506.94
2022-07-20,3465.79
2022-07-19,3499.11
2022-07-18,3492.81
2022-07-15,3488.35
2022-07-14,3500.15
2022-07-13,3505.6
2022-07-12,3521.23
2022-07-11,3529.58
2022-07-08,3535.74
2022-07-07,3548.33
2022-07-06,3540.28
2022-07-05,3548.25
2022-07-04,3530.87
2022-07-01,3545.72
2022-06-30,3542.18
2022-06-29,3551.96
2022-06-28,3554.73
2022-06-27,3533.48
2022-06-24,3519.46
2022-06-23,3507.78
2022-06-21,3513.14
2022-06-20,3500.18
2022-06-17,3505.49
2022-06-15,3522.49
2022-06-14,3551.74
2022-06-13,3545.33
2022-06-10,3581.41
2022-06-09,3589.91
2022-06-08,3576.23
2022-06-07,3621.21
2022-06-06,3593.84
2022-06-03,3577.44
2022-06-02,3535.29
2022-06-01,3504.05
2022-05-31,3502.87
2022-05-27,3547.66
2022-05-26,3538.41
2022-05-25,3538.49
2022-05-24,3541.73
2022-05-23,3553.15
2022-05-20,3559.95
2022-05-19,3540.39
2022-05-18,3544.61
2022-05-17,3567.53
2022-05-16,3566.53
2022-05-13,3578.24
