Date,Price
2022-11-04,805
2022-09-30,805
2022-09-29,805
2022-09-28,805
2022-09-27,815
2022-09-26,860
2022-09-19,840
2022-09-13,870
2022-08-23,840
2022-08-16,835
2022-08-11,835
2022-08-08,850
2022-08-03,835
2022-07-27,835
2022-07-26,835
2022-07-22,835
2022-07-21,835
2022-07-19,835
2022-07-18,835
2022-07-15,835
2022-07-01,835
2022-06-30,835
2022-06-29,835
2022-06-28,835
2022-06-27,835
2022-06-24,835
2022-06-23,835
2022-06-17,835
2022-06-09,835
2022-06-07,835
2022-06-03,835
2022-05-25,835
2022-05-24,835
2022-05-20,835
2022-05-19,835
2022-05-18,835
2022-05-17,835
2022-05-16,835
2022-05-13,835
2022-05-12,835
2022-05-11,835
2022-05-02,835
2022-04-20,835
2022-03-25,835
2022-03-18,835
2022-03-16,835
2022-03-15,835
2022-03-08,835
2022-03-07,835
2022-02-28,835
2022-02-25,835
2022-02-18,835
2022-02-17,835
2022-02-15,835
2022-02-10,835
2022-02-09,835
2022-01-28,835
2022-01-24,835
2022-01-17,835
2022-01-14,835
2022-01-10,835
2022-01-03,835
2021-12-30,835
2021-12-22,835
2021-12-09,835
2021-12-06,840
2021-12-03,835
2021-11-23,835
2021-11-22,840
2021-11-19,835
2021-11-12,835
2021-11-05,840
2021-11-04,835
2021-10-29,860
2021-10-22,835
2021-10-08,835
2021-10-05,835
2021-10-04,835
2021-10-01,835
2021-09-30,835
2021-09-28,835
2021-09-27,835
2021-09-24,835
2021-09-23,835
2021-09-22,835
2021-09-21,835
2021-09-13,835
2021-09-09,835
2021-09-06,835
2021-09-03,835
2021-08-26,835
2021-08-25,835
2021-08-24,835
2021-08-20,835
2021-08-18,835
2021-08-16,835
2021-08-09,835
2021-08-06,835
2021-07-30,905
2021-07-29,710
2021-07-22,700
2021-07-16,700
2021-07-14,700
2021-07-12,700
2021-07-09,700
2021-07-07,705
2021-07-05,705
2021-06-30,705
2021-06-29,710
2021-06-24,705
2021-06-21,705
2021-06-17,705
2021-06-16,705
2021-06-15,700
2021-06-14,700
2021-06-10,705
2021-06-08,710
2021-06-02,705
2021-06-01,705
2021-05-28,705
2021-05-27,705
2021-05-26,710
2021-05-25,710
2021-05-24,710
2021-05-21,705
2021-05-20,705
2021-05-19,715
2021-05-18,710
2021-05-17,710
2021-05-14,710
2021-05-13,710
2021-05-12,715
2021-05-11,720
2021-05-10,725
2021-05-07,705
2021-05-05,705
2021-04-30,710
2021-04-29,720
2021-04-27,730
2021-04-26,730
2021-04-23,730
2021-04-22,725
2021-04-21,730
2021-04-20,735
2021-04-19,730
2021-04-16,730
2021-04-15,730
2021-04-12,730
2021-03-25,730
2021-03-23,730
2021-03-10,740
2021-02-23,740
2021-02-12,735
2021-02-02,735
2021-01-25,710
2021-01-21,700
2021-01-11,700
2021-01-08,705
2021-01-04,700
2020-12-29,705
2020-12-23,700
2020-12-22,700
2020-12-21,700
2020-12-18,700
2020-12-11,700
2020-12-04,700
2020-12-03,705
2020-12-02,710
2020-11-20,700
2020-11-17,670
2020-11-16,650
2020-11-13,645
2020-11-12,650
2020-10-27,645
2020-10-21,645
2020-10-20,645
2020-10-19,645
2020-10-15,645
2020-10-14,650
2020-10-05,650
2020-10-02,650
2020-09-23,650
2020-09-22,650
2020-09-07,650
2020-08-31,645
2020-08-26,670
2020-08-11,670
2020-07-02,645
2020-06-25,685
2020-06-18,685
2020-05-26,690
2020-04-29,665
2020-04-23,650
2020-04-06,710
2020-04-02,700
2020-03-27,650
2020-03-19,710
2020-03-11,770
2020-03-10,780
2020-03-09,790
2020-03-04,805
2020-03-03,805
2020-03-02,800
2020-02-28,800
2020-02-26,800
2020-02-25,780
2020-02-24,800
