Date,Price
2022-11-04,304
2022-10-28,304
2022-10-27,300
2022-10-26,302
2022-10-24,302
2022-10-21,300
2022-10-20,300
2022-10-19,302
2022-10-11,300
2022-10-06,300
2022-10-04,302
2022-09-28,300
2022-09-27,300
2022-09-26,300
2022-09-21,300
2022-09-15,302
2022-09-14,302
2022-09-08,318
2022-09-05,302
2022-09-01,320
2022-08-25,302
2022-08-22,302
2022-08-17,302
2022-08-12,302
2022-08-08,300
2022-08-03,300
2022-08-02,300
2022-07-27,306
2022-07-26,300
2022-07-20,300
2022-07-15,300
2022-07-14,300
2022-07-08,300
2022-07-07,300
2022-07-06,300
2022-07-04,300
2022-07-01,300
2022-06-30,300
2022-06-29,300
2022-06-27,300
2022-06-21,300
2022-06-20,300
2022-06-17,300
2022-06-14,300
2022-06-13,300
2022-06-09,300
2022-06-07,302
2022-06-03,306
2022-06-01,300
2022-05-31,300
2022-05-27,310
2022-05-26,306
2022-05-23,300
2022-05-20,302
2022-05-18,300
2022-05-13,304
2022-05-12,300
2022-05-11,302
2022-05-10,302
2022-05-09,302
2022-05-06,300
2022-05-05,300
2022-05-04,300
2022-04-29,302
2022-04-28,300
2022-04-21,302
2022-04-20,302
2022-04-19,304
2022-04-14,304
2022-04-13,302
2022-04-12,302
2022-04-11,310
2022-04-05,300
2022-04-04,300
2022-04-01,304
2022-03-31,302
2022-03-30,300
2022-03-29,300
2022-03-25,300
2022-03-24,300
2022-03-23,300
2022-03-22,300
2022-03-21,300
2022-03-18,300
2022-03-16,300
2022-03-15,300
2022-03-11,306
2022-03-10,302
2022-03-09,300
2022-03-08,302
2022-03-07,302
2022-03-04,300
2022-03-02,300
2022-03-01,300
2022-02-25,300
2022-02-24,300
2022-02-21,314
2022-02-18,300
2022-02-16,310
2022-02-15,300
2022-02-14,300
2022-02-10,302
2022-02-08,300
2022-02-07,300
2022-02-03,304
2022-02-02,300
2022-01-27,300
2022-01-26,302
2022-01-25,302
2022-01-24,302
2022-01-21,300
2022-01-20,308
2022-01-19,300
2022-01-18,300
2022-01-17,300
2022-01-13,300
2022-01-12,300
2022-01-11,300
2022-01-07,300
2022-01-05,300
2022-01-03,302
2021-12-29,300
2021-12-27,300
2021-12-23,300
2021-12-22,304
2021-12-20,300
2021-12-17,300
2021-12-16,300
2021-12-15,300
2021-12-14,300
2021-12-13,300
2021-12-08,300
2021-12-06,302
2021-12-03,300
2021-12-02,302
2021-12-01,306
2021-11-30,302
2021-11-29,300
2021-11-26,302
2021-11-24,306
2021-11-23,302
2021-11-16,302
2021-11-15,302
2021-11-12,304
2021-11-11,304
2021-11-10,300
2021-11-08,302
2021-11-05,300
2021-11-03,300
2021-11-02,304
2021-10-29,310
2021-10-28,310
2021-10-27,300
2021-10-26,300
2021-10-25,300
2021-10-22,302
2021-10-21,300
2021-10-20,300
2021-10-18,304
2021-10-15,302
2021-10-14,300
2021-10-12,300
2021-10-07,300
2021-10-05,300
2021-10-04,300
2021-10-01,300
2021-09-30,300
2021-09-29,300
2021-09-22,300
2021-09-21,300
2021-09-20,300
2021-09-17,300
2021-09-13,300
2021-09-08,304
2021-09-07,300
2021-09-06,300
2021-09-03,300
2021-09-01,300
2021-08-31,300
2021-08-26,300
2021-08-25,302
2021-08-23,300
2021-08-19,304
2021-08-18,300
2021-08-17,300
2021-08-16,300
2021-08-13,302
2021-08-04,300
2021-08-03,300
2021-08-02,300
2021-07-30,300
2021-07-27,300
2021-07-26,300
2021-07-22,300
2021-07-21,300
2021-07-16,300
2021-07-15,300
2021-07-14,300
2021-07-13,300
2021-07-12,300
2021-07-09,300
2021-07-08,304
2021-07-07,300
2021-07-06,300
2021-07-05,300
2021-07-01,300
2021-06-30,300
2021-06-29,300
2021-06-28,302
2021-06-25,302
2021-06-24,304
2021-06-21,304
2021-06-18,304
2021-06-17,304
2021-06-15,302
2021-06-11,302
2021-06-10,300
2021-06-09,300
2021-06-08,300
2021-06-07,302
2021-06-04,308
2021-05-27,308
2021-05-26,302
2021-05-24,300
2021-05-21,300
2021-05-18,300
2021-05-14,302
2021-05-12,300
2021-05-11,300
2021-05-05,308
2021-05-03,300
2021-04-30,306
2021-04-29,302
2021-04-27,300
2021-04-23,300
2021-04-16,300
2021-04-15,300
2021-04-14,300
2021-04-13,300
2021-04-12,300
2021-04-09,302
2021-04-08,300
2021-04-07,300
2021-04-06,300
2021-04-01,300
2021-03-26,300
2021-03-24,300
