Date,Price
2022-11-04,28.8
2022-11-03,29
2022-11-02,29
2022-10-31,29.3
2022-10-28,29
2022-10-27,29.2
2022-10-26,28.6
2022-10-25,28.1
2022-10-24,28.3
2022-10-21,28.6
2022-10-20,28.7
2022-10-19,28.9
2022-10-18,29
2022-10-17,28.9
2022-10-14,28.7
2022-10-13,28.6
2022-10-12,28.8
2022-10-11,28.8
2022-10-10,28.8
2022-10-07,29.4
2022-10-06,29.4
2022-10-05,29
2022-10-04,28.9
2022-10-03,28.7
2022-09-30,29
2022-09-29,28.8
2022-09-28,28.8
2022-09-27,29.1
2022-09-26,29.7
2022-09-23,31.1
2022-09-22,31
2022-09-21,30.4
2022-09-20,30.7
2022-09-19,31
2022-09-16,31
2022-09-15,31.9
2022-09-14,32.2
2022-09-13,32.5
2022-09-12,32.3
2022-09-09,32.2
2022-09-08,32.4
2022-09-07,32.1
2022-09-06,32.2
2022-09-05,32.4
2022-09-02,32.6
2022-09-01,32.6
2022-08-31,32.7
2022-08-29,32.9
2022-08-26,32.9
2022-08-25,32.4
2022-08-24,33
2022-08-23,33
2022-08-22,33.2
2022-08-19,33
2022-08-18,33.3
2022-08-17,33.4
2022-08-16,33.3
2022-08-12,32.8
2022-08-11,32.8
2022-08-10,32.8
2022-08-09,33.3
2022-08-08,33.2
2022-08-04,32.3
2022-08-03,32.4
2022-08-02,32.2
2022-08-01,32.1
2022-07-29,31.6
2022-07-28,32.2
2022-07-27,32
2022-07-26,31.9
2022-07-25,32
2022-07-22,31.9
2022-07-21,31.5
2022-07-20,31.8
2022-07-19,31.5
2022-07-18,31.5
2022-07-15,31.3
2022-07-14,31.3
2022-07-13,32.1
2022-07-12,32.3
2022-07-11,32.5
2022-07-08,32.6
2022-07-07,33
2022-07-06,33
2022-07-05,33.3
2022-07-04,33
2022-07-01,33.2
2022-06-30,33.3
2022-06-29,33.1
2022-06-28,33.7
2022-06-27,33.5
2022-06-24,32.6
2022-06-23,33
2022-06-21,33
2022-06-20,32.4
2022-06-17,32.4
2022-06-15,32.5
2022-06-14,32.5
2022-06-13,32.7
2022-06-10,33.4
2022-06-09,33.8
2022-06-08,33.5
2022-06-07,33.8
2022-06-06,33.5
2022-06-03,33.1
2022-06-02,33
2022-06-01,32.3
2022-05-31,32.4
2022-05-27,33.5
2022-05-26,33.5
2022-05-25,33.3
2022-05-24,33.7
2022-05-23,34
2022-05-20,34.1
2022-05-19,33.4
2022-05-18,33.6
2022-05-17,34
2022-05-16,34.2
2022-05-13,34.3
2022-05-12,34
2022-05-11,34.8
2022-05-10,34.7
2022-05-09,35
2022-05-06,34.7
2022-05-05,35.6
2022-05-04,34.7
2022-05-03,34.5
2022-05-02,34.8
2022-04-29,35
2022-04-28,35
2022-04-27,34.8
2022-04-26,35.5
2022-04-25,35.1
2022-04-22,35.5
2022-04-21,36
2022-04-20,35.5
2022-04-19,33.4
2022-04-14,33.4
2022-04-13,33.1
2022-04-12,33
2022-04-11,33.6
2022-04-08,33
2022-04-07,32.6
2022-04-06,32.7
2022-04-05,32.5
2022-04-04,32.4
2022-04-01,32.5
2022-03-31,32.2
2022-03-30,32.4
2022-03-29,32.6
2022-03-28,31.6
