,osobni automobili,vlakovi,teretna vozila,autobusi,plovila,zrakoplovi,UKUPNO
2013-01-01,22074,9,185,84,1,11,22364
2013-01-02,31509,12,957,143,3,23,32647
2013-01-03,24203,14,1161,156,4,20,25558
2013-01-04,19650,14,912,151,1,26,20754
2013-01-05,29892,13,913,214,0,18,31050
2013-01-06,18622,14,491,138,3,25,19293
2013-01-07,15962,13,1589,108,1,22,17695
2013-01-08,15216,15,1671,92,2,18,17014
2013-01-09,16085,10,1288,120,4,20,17527
2013-01-10,18652,14,1351,110,5,17,20149
2013-01-11,19605,12,1106,115,1,25,20864
2013-01-12,19739,15,569,149,1,17,20490
2013-01-13,13765,12,536,139,2,23,14477
2013-01-14,12715,14,938,90,0,20,13777
2013-01-15,14335,14,2095,131,2,17,16594
2013-01-16,15052,14,1587,119,0,23,16795
2013-01-17,13992,14,1419,94,2,18,15539
2013-01-18,14880,14,1010,136,1,23,16064
2013-01-19,17665,15,649,148,3,16,18496
2013-01-20,12845,10,649,121,2,23,13650
2013-01-21,15301,15,1684,101,1,18,17120
2013-01-22,14779,15,2106,107,1,16,17024
2013-01-23,15305,20,1736,106,5,22,17194
2013-01-24,15207,18,1568,109,2,17,16921
2013-01-25,16006,16,1016,117,1,24,17180
2013-01-26,17478,14,624,142,0,19,18277
2013-01-27,14232,16,665,130,5,22,15070
2013-01-28,15770,13,1858,93,2,24,17760
2013-01-29,14441,16,1719,99,2,17,16294
2013-01-30,15837,16,1861,99,2,23,17838
2013-01-31,17550,18,1690,113,5,19,19395
2013-02-01,18577,22,1364,123,3,26,20115
2013-02-02,20007,14,678,152,0,17,20868
2013-02-03,13942,15,746,137,3,24,14867
2013-02-04,16698,14,1985,96,4,23,18820
2013-02-05,15471,16,1700,104,2,19,17312
2013-02-06,14155,14,1616,103,2,23,15913
2013-02-07,16607,18,1688,102,4,21,18440
2013-02-08,17714,17,1113,118,0,22,18984
2013-02-09,19599,16,973,203,2,17,20810
2013-02-10,12963,16,541,144,3,23,13690
2013-02-11,17575,15,1985,123,0,22,19720
2013-02-12,14269,16,1778,107,2,19,16191
2013-02-13,13781,15,1727,109,4,22,15658
2013-02-14,14828,15,1618,126,3,20,16610
2013-02-15,17407,17,1711,125,3,24,19287
2013-02-16,20728,15,905,173,0,17,21838
2013-02-17,13894,15,700,164,3,25,14801
2013-02-18,15709,12,2229,110,3,25,18088
2013-02-19,16321,18,1877,98,2,19,18335
2013-02-20,15214,15,2003,111,3,23,17369
2013-02-21,15077,15,1785,127,2,19,17025
2013-02-22,16227,16,1412,122,2,26,17805
2013-02-23,16285,16,714,144,2,17,17178
2013-02-24,13561,11,664,135,2,26,14399
2013-02-25,15492,10,1979,102,4,22,17609
2013-02-26,15333,14,1802,105,2,20,17276
2013-02-27,15966,14,1839,93,5,22,17939
2013-02-28,17204,13,1824,131,4,20,19196
2013-03-01,19507,16,1404,131,3,26,21087
2013-03-02,20608,15,790,241,1,16,21671
2013-03-03,15864,12,682,145,4,29,16736
2013-03-04,17790,14,1971,108,5,22,19910
2013-03-05,16601,21,2011,109,3,19,18764
2013-03-06,16665,14,1905,142,2,22,18750
2013-03-07,17476,18,1813,132,4,20,19463
2013-03-08,19913,15,1484,171,2,26,21611
2013-03-09,22183,17,722,190,2,17,23131
2013-03-10,14217,16,561,129,5,25,14953
2013-03-11,18014,15,2042,120,3,22,20216
2013-03-12,16867,18,2317,110,7,16,19335
2013-03-13,16217,15,1967,117,3,21,18340
2013-03-14,15045,19,1280,167,2,19,16532
2013-03-15,18152,12,1239,139,2,25,19569
2013-03-16,21602,16,752,281,2,18,22671
2013-03-17,15008,19,757,150,3,24,15961
2013-03-18,16638,15,2141,128,0,22,18944
2013-03-19,19082,17,1937,114,3,3,21156
2013-03-20,16694,18,1916,136,4,22,18790
2013-03-21,18500,18,1795,150,1,3,20467
2013-03-22,18288,15,1297,175,4,24,19803
2013-03-23,22871,19,793,272,5,18,23978
2013-03-24,16130,15,688,181,14,24,17052
2013-03-25,16039,15,1976,118,2,22,18172
2013-03-26,15427,20,1835,149,5,18,17454
2013-03-27,19732,16,1955,182,7,23,21915
2013-03-28,21129,20,1686,166,7,20,23028
2013-03-29,21434,17,1120,147,5,27,22750
2013-03-30,20151,16,455,159,4,19,20804
2013-03-31,13376,7,235,100,3,23,13744
2013-04-01,18278,9,625,169,4,26,19111
2013-04-02,17963,14,2244,174,1,21,20417
2013-04-03,16457,13,1861,158,4,22,18515
2013-04-04,18381,12,1910,158,6,23,20490
2013-04-05,20070,17,1555,217,0,27,21886
2013-04-06,21506,18,901,261,2,19,22707
2013-04-07,16814,18,751,209,4,21,17817
2013-04-08,17030,11,2051,111,4,27,19234
2013-04-09,17902,14,2239,139,3,21,20318
2013-04-10,17750,15,2051,169,3,23,20011
2013-04-11,17939,16,1819,179,10,22,19985
2013-04-12,19987,19,1360,170,8,5,21549
2013-04-13,23262,15,781,269,5,21,24353
