,Cestovni,Željeznički,Riječni,Pomorski,Zračni,UKUPNO
2013-01-01,23581,334,0,27,590,24532
2013-01-02,46762,687,0,26,1291,48766
2013-01-03,52199,694,0,63,973,53929
2013-01-04,55030,604,0,65,987,56686
2013-01-05,81207,636,0,1,1005,82849
2013-01-06,51806,664,0,119,1464,54053
2013-01-07,42417,525,0,0,1555,44497
2013-01-08,39574,514,0,4,1120,41212
2013-01-09,42015,410,0,8,1246,43679
2013-01-10,48294,342,0,88,990,49714
2013-01-11,48729,364,0,1,874,49968
2013-01-12,53323,318,0,3,816,54460
2013-01-13,38382,366,0,60,1125,39933
2013-01-14,33271,328,0,0,1184,34783
2013-01-15,36315,300,0,0,951,37566
2013-01-16,39406,314,0,0,1033,40753
2013-01-17,35126,307,0,86,778,36297
2013-01-18,38579,317,0,0,903,39799
2013-01-19,47190,329,0,6,719,48244
2013-01-20,35888,355,0,60,895,37198
2013-01-21,40266,340,0,0,1090,41696
2013-01-22,37813,332,0,0,1015,39160
2013-01-23,39106,336,0,44,968,40454
2013-01-24,37881,373,0,55,836,39145
2013-01-25,41377,332,0,1,1073,42783
2013-01-26,45961,408,0,0,840,47209
2013-01-27,38081,388,0,48,1030,39547
2013-01-28,39423,357,0,8,1020,40808
2013-01-29,37240,345,0,3,859,38447
2013-01-30,40261,381,0,11,901,41554
2013-01-31,44407,319,0,42,578,45346
2013-02-01,47797,374,0,0,757,48928
2013-02-02,52707,377,0,1,615,53700
2013-02-03,39579,421,0,48,1023,41071
2013-02-04,42258,369,0,12,1239,43878
2013-02-05,39331,372,0,1,916,40620
2013-02-06,36014,373,0,31,941,37359
2013-02-07,41303,303,0,93,770,42469
2013-02-08,1394692,365,0,1,780,1395838
2013-02-09,54102,357,0,0,556,55015
2013-02-10,36651,447,0,55,848,38001
2013-02-11,44582,288,0,2,1126,45998
2013-02-12,35796,357,0,0,1142,37295
2013-02-13,35591,306,0,4,966,36867
2013-02-14,37341,414,0,47,985,38787
2013-02-15,44310,350,0,29,924,45613
2013-02-16,55885,317,0,0,750,56952
2013-02-17,37792,304,0,75,1091,39262
2013-02-18,39808,290,0,10,1200,41308
2013-02-19,40576,322,0,21,1024,41943
2013-02-20,38394,312,0,40,953,39699
2013-02-21,38127,374,0,61,903,39465
2013-02-22,41568,409,0,0,1045,43022
2013-02-23,43265,346,0,7,696,44314
2013-02-24,37654,420,0,78,1077,39229
2013-02-25,40603,386,0,13,1167,42169
2013-02-26,38493,360,0,7,1034,39894
2013-02-27,39720,362,0,9,1008,41099
2013-02-28,43209,307,0,128,1146,44790
2013-03-01,49637,357,0,4,1166,51164
2013-03-02,57288,360,0,0,735,58383
2013-03-03,44256,340,0,40,1113,45749
2013-03-04,46845,267,0,6,1318,48436
2013-03-05,42235,296,0,4,1337,43872
2013-03-06,43212,234,0,15,1087,44548
2013-03-07,44609,325,0,53,997,45984
2013-03-08,53013,354,0,4,957,54328
2013-03-09,61104,286,0,1,777,62168
2013-03-10,39942,378,0,46,1134,41500
2013-03-11,44523,274,0,6,1185,45988
2013-03-12,43119,334,0,52,1144,44649
2013-03-13,41763,279,0,6,1202,43250
2013-03-14,39051,309,0,45,1081,40486
2013-03-15,47131,319,0,2,1096,48548
2013-03-16,62159,278,0,2,754,63193
2013-03-17,42880,407,0,85,979,44351
2013-03-18,43504,282,0,0,1387,45173
2013-03-19,42866,278,0,31,198,43373
2013-03-20,43589,285,0,45,1171,45090
2013-03-21,47246,453,0,174,45,47918
2013-03-22,49647,525,0,9,1246,51427
