,osobni automobili,vlakovi,teretna vozila,autobusi,plovila,zrakoplovi,UKUPNO
2013-01-01,11213,7,134,161,0,13,11528
2013-01-02,17812,12,522,159,2,22,18529
2013-01-03,16870,14,866,146,4,19,17919
2013-01-04,16687,10,1034,112,1,27,17871
2013-01-05,19599,11,576,135,2,18,20341
2013-01-06,15608,9,263,160,2,23,16065
2013-01-07,15376,10,947,126,0,23,16482
2013-01-08,15203,10,1439,109,3,16,16780
2013-01-09,15936,9,1365,110,2,21,17443
2013-01-10,18439,11,1570,109,5,18,20152
2013-01-11,18902,12,1717,119,1,24,20775
2013-01-12,25237,13,936,204,1,17,26408
2013-01-13,14610,11,266,179,3,23,15092
2013-01-14,12398,7,814,110,0,20,13349
2013-01-15,13339,12,1554,98,2,17,15022
2013-01-16,14676,11,1611,103,0,22,16423
2013-01-17,13631,13,1668,97,1,20,15430
2013-01-18,14419,13,1512,106,0,22,16072
2013-01-19,17221,13,1097,155,4,17,18507
2013-01-20,14128,7,334,103,2,20,14594
2013-01-21,14592,10,1306,96,0,23,16027
2013-01-22,14641,11,1627,110,1,16,16406
2013-01-23,14663,16,1605,100,5,22,16411
2013-01-24,14823,15,1755,103,3,19,16718
2013-01-25,15420,11,1528,111,0,22,17092
2013-01-26,16442,10,1194,136,1,20,17803
2013-01-27,14341,14,419,133,3,22,14932
2013-01-28,14587,10,1397,96,1,25,16116
2013-01-29,13484,12,1578,79,1,17,15171
2013-01-30,15093,13,1896,90,4,23,17119
2013-01-31,16735,16,1838,110,2,20,18721
2013-02-01,17848,18,1907,117,3,28,19921
2013-02-02,18702,11,1097,154,1,16,19981
2013-02-03,15924,12,254,124,1,21,16336
2013-02-04,16179,11,1426,107,5,23,17751
2013-02-05,15145,11,1608,99,5,20,16888
2013-02-06,13971,13,1613,93,2,22,15714
2013-02-07,16238,13,2004,108,2,23,18388
2013-02-08,16787,12,1429,120,1,23,18372
2013-02-09,18355,15,1247,172,2,18,19809
2013-02-10,14046,14,297,182,1,22,14562
2013-02-11,16664,14,1646,130,1,23,18478
2013-02-12,13604,14,1382,106,2,19,15127
2013-02-13,13279,13,1500,115,3,21,14931
2013-02-14,14628,12,1629,116,1,20,16406
2013-02-15,16326,14,1916,116,5,25,18402
2013-02-16,19429,11,1263,171,2,16,20892
2013-02-17,15305,14,376,169,1,28,15893
2013-02-18,15964,9,1840,116,3,24,17956
2013-02-19,15853,15,1801,102,3,20,17794
2013-02-20,14437,10,1945,106,5,22,16525
2013-02-21,15219,12,1979,121,0,21,17352
2013-02-22,15672,14,1691,105,2,25,17509
2013-02-23,16022,12,1228,145,5,18,17430
2013-02-24,14698,12,354,154,0,24,15242
2013-02-25,15068,10,1601,102,1,23,16805
2013-02-26,15030,9,1663,94,4,21,16821
2013-02-27,15566,13,1790,95,4,22,17490
2013-02-28,16708,9,1942,111,2,21,18793
2013-03-01,18062,11,1850,110,5,25,20063
2013-03-02,18069,13,993,204,2,15,19296
2013-03-03,17319,12,412,195,1,25,17964
2013-03-04,16602,10,1475,114,5,23,18229
2013-03-05,16082,12,1845,102,7,19,18067
2013-03-06,16015,12,1943,119,1,21,18111
2013-03-07,16741,12,2100,120,0,21,18994
2013-03-08,18502,10,2038,123,1,25,20699
2013-03-09,20897,17,1095,181,3,17,22210
2013-03-10,15531,14,299,191,5,24,16064
2013-03-11,17568,13,1711,123,1,22,19438
2013-03-12,16070,15,1866,112,5,15,18083
2013-03-13,15937,12,1941,109,3,20,18022
2013-03-14,14586,15,1565,173,1,21,16361
2013-03-15,16889,9,1734,118,2,25,18777
2013-03-16,20640,9,1242,264,4,17,22176
2013-03-17,16319,12,341,204,5,24,16905
2013-03-18,15473,12,1576,137,0,23,17221
2013-03-19,17594,16,1739,130,4,3,19486
2013-03-20,16397,11,1783,122,3,22,18338
2013-03-21,18369,15,1976,126,3,2,20491
2013-03-22,17567,10,2022,140,2,25,19766
2013-03-23,20859,13,1320,203,5,19,22419
2013-03-24,16750,14,389,253,2,23,17431
2013-03-25,15635,9,1287,125,3,24,17083
2013-03-26,15143,12,1565,144,15,18,16897
2013-03-27,19250,13,1887,146,4,23,21323
2013-03-28,20412,16,2031,187,7,20,22673
2013-03-29,20806,12,1910,162,7,27,22924
2013-03-30,18835,15,789,136,6,19,19800
2013-03-31,12976,5,140,105,2,23,13251
2013-04-01,23548,7,326,185,1,24,24091
2013-04-02,17482,11,1493,159,2,22,19169
2013-04-03,15685,9,1622,147,3,23,17489
2013-04-04,17589,10,1868,149,7,23,19646
2013-04-05,18425,17,1977,158,2,23,20602
2013-04-06,19222,10,1149,207,3,21,20612
2013-04-07,17062,11,349,262,1,21,17706
2013-04-08,16091,7,1787,133,1,26,18045
2013-04-09,16531,11,1905,140,4,21,18612
2013-04-10,16829,13,2028,155,3,24,19052
2013-04-11,17383,13,2101,170,4,23,19694
2013-04-12,18991,12,1852,162,7,5,21029
2013-04-13,21759,11,1225,240,6,21,23262
2013-04-14,17355,11,380,249,4,24,18023
2013-04-15,17686,8,1642,143,6,24,19509
2013-04-16,17002,13,1749,150,6,23,18943
2013-04-17,18214,11,2097,156,7,27,20512
2013-04-18,18924,12,2072,182,7,27,21224
2013-04-19,21251,11,2291,187,10,26,23776
2013-04-20,22161,15,1311,273,7,22,23789
2013-04-21,19101,7,378,325,15,22,19848
2013-04-22,17800,12,1932,223,8,20,19995
2013-04-23,17991,14,2078,189,6,22,20300
2013-04-24,18440,9,2415,220,8,26,21118
2013-04-25,20356,13,2125,197,10,28,22729
2013-04-26,20296,12,2551,249,12,29,23149
2013-04-27,21993,15,977,235,8,22,23250
2013-04-28,19178,15,494,276,5,27,19995
2013-04-29,20529,13,2046,190,2,29,22809
2013-04-30,22767,13,2572,263,5,28,25648
2013-05-01,18251,13,644,243,14,26,19191
2013-05-02,19127,13,1320,218,15,26,20719
2013-05-03,19739,10,2147,231,15,32,22174
2013-05-04,22178,15,1214,270,9,31,23717
2013-05-05,20172,17,314,289,3,30,20825
2013-05-06,19686,16,1780,238,4,31,21755
2013-05-07,19750,12,2308,215,12,30,22327
2013-05-08,18255,14,2481,220,26,31,21027
2013-05-09,20752,13,2321,251,8,30,23375
2013-05-10,20425,11,2203,216,9,32,22896
2013-05-11,23207,13,1258,335,8,31,24852
2013-05-12,20228,14,376,342,4,32,20996
2013-05-13,18342,15,1686,206,5,29,20283
2013-05-14,18516,13,1974,190,12,22,20727
2013-05-15,19728,13,2555,266,9,24,22595
2013-05-16,20692,12,2775,235,9,21,23744
2013-05-17,21565,11,2241,229,11,23,24080
2013-05-18,22785,15,1483,289,8,22,24602
2013-05-19,21195,16,418,346,5,18,21998
2013-05-20,20118,12,1885,238,15,17,22285
2013-05-21,18487,11,2070,204,8,17,20797
2013-05-22,19885,11,2015,245,15,27,22198
2013-05-23,20614,12,2383,240,8,28,23285
2013-05-24,21213,14,2550,275,7,29,24088
2013-05-25,22682,12,1332,297,5,33,24361
2013-05-26,19240,15,349,331,35,29,19999
2013-05-27,18738,14,1806,234,7,30,20829
2013-05-28,18660,12,2483,283,8,29,21475
2013-05-29,20097,9,2116,295,13,29,22559
2013-05-30,24339,12,1419,240,17,32,26059
2013-05-31,22883,11,2077,329,18,30,25348
2013-06-01,22412,14,1445,335,4,33,24243
2013-06-02,19587,15,447,340,8,28,20425
2013-06-03,19044,11,1791,279,6,34,21165
2013-06-04,18144,14,2215,255,4,30,20662
2013-06-05,18726,14,2383,250,5,29,21407
2013-06-06,19135,11,2228,236,8,9,21627
2013-06-07,20618,16,2388,294,8,31,23355
2013-06-08,23587,12,1424,363,3,36,25425
2013-06-09,20678,16,436,334,6,30,21500
2013-06-10,19568,10,1833,273,6,28,21718
2013-06-11,18608,10,2303,240,5,29,21195
2013-06-12,19280,11,2415,266,7,29,22008
2013-06-13,21137,13,2602,297,8,31,24088
2013-06-14,23981,12,2713,358,6,30,27100
2013-06-15,24482,13,1434,336,5,38,26308
2013-06-16,20449,15,432,353,5,31,21285
2013-06-17,20195,14,1948,289,7,34,22487
2013-06-18,19898,12,2225,207,10,29,22381
2013-06-19,19175,10,2368,260,30,28,21871
2013-06-20,20438,12,2474,296,16,33,23269
2013-06-21,22334,12,2670,313,10,34,25373
2013-06-22,26516,13,1281,456,9,35,28310
2013-06-23,21262,15,416,360,2,28,22083
2013-06-24,24262,11,1734,374,6,36,26423
2013-06-25,25891,15,1407,360,9,32,27714
2013-06-26,20595,14,2371,287,10,30,23307
2013-06-27,20570,11,2197,247,13,31,23069
2013-06-28,22446,17,2456,308,12,33,25272
2013-06-29,24178,16,1459,373,7,34,26067
2013-06-30,22515,14,498,347,6,32,23412
2013-07-01,18773,11,1468,325,4,31,20612
2013-07-02,17056,13,1832,274,8,32,19215
2013-07-03,17596,12,1956,285,9,30,19888
2013-07-04,18782,12,1981,267,11,33,21086
2013-07-05,20675,12,1970,261,12,33,22963
2013-07-06,23175,12,1022,322,6,33,24570
2013-07-07,20314,12,432,312,6,33,21109
2013-07-08,21011,9,1885,281,13,31,23230
2013-07-09,18824,10,2118,245,9,32,21238
2013-07-10,18859,16,2051,250,7,30,21213
2013-07-11,22739,12,2407,289,12,30,25489
2013-07-12,22241,12,2297,287,10,29,24876
2013-07-13,23157,10,1166,296,9,35,24673
2013-07-14,22164,15,381,283,3,33,22879
2013-07-15,21149,9,2007,273,6,37,23481
2013-07-16,19007,11,1874,285,7,28,21212
2013-07-17,19637,11,2110,245,9,29,22041
2013-07-18,20730,13,2041,249,10,33,23076
2013-07-19,22090,11,2164,267,12,33,24577
2013-07-20,23921,13,1244,279,9,33,25499
2013-07-21,21815,10,378,288,8,32,22531
2013-07-22,21048,11,1906,271,3,34,23273
2013-07-23,19543,16,1935,267,5,29,21795
2013-07-24,18590,12,1952,252,10,31,20847
2013-07-25,20335,11,2072,243,7,34,22702
2013-07-26,22545,12,2252,259,79,32,25179
2013-07-27,21822,11,1183,310,11,36,23373
2013-07-28,21925,12,352,264,10,31,22594
2013-07-29,21306,11,1708,261,8,33,23327
2013-07-30,21090,16,2475,258,9,28,23876
2013-07-31,19736,11,2285,275,9,30,22346
2013-08-01,22774,13,2261,269,11,31,25359
2013-08-02,21963,15,2068,277,8,33,24364
2013-08-03,24767,12,1024,289,14,51,26157
2013-08-04,22355,14,386,448,7,32,23242
2013-08-05,27282,11,1117,269,5,35,28719
2013-08-06,19855,14,1722,263,6,30,21890
2013-08-07,19719,8,2068,252,14,11,22072
2013-08-08,21200,15,1962,272,16,37,23502
2013-08-09,21625,11,2309,250,10,37,24242
2013-08-10,24412,14,1149,312,8,36,25931
2013-08-11,21723,13,448,299,5,32,22520
2013-08-12,21761,9,1588,246,7,36,23647
2013-08-13,21351,12,2133,247,12,30,23785
2013-08-14,23578,15,2013,305,9,32,25952
2013-08-15,23435,14,815,286,11,47,24608
2013-08-16,25229,15,1699,259,11,37,27250
2013-08-17,26508,15,1100,331,12,38,28004
2013-08-18,25382,11,328,258,9,31,26019
2013-08-19,21294,11,1554,277,6,35,23177
2013-08-20,22278,12,1555,250,7,33,24135
2013-08-21,21454,30,2213,275,10,32,24014
2013-08-22,20970,10,1972,244,25,34,23255
2013-08-23,21090,15,2050,268,11,32,23466
2013-08-24,22182,11,895,256,9,35,23388
2013-08-25,20299,13,341,316,5,30,21004
2013-08-26,20992,10,1797,266,5,34,23104
2013-08-27,19101,14,1930,283,4,27,21359
2013-08-28,19589,11,2053,238,15,34,21940
2013-08-29,20590,13,2043,257,12,34,22949
2013-08-30,21508,12,2085,239,16,35,23895
2013-08-31,22204,14,1149,321,8,52,23748
2013-09-01,19956,11,383,267,9,29,20655
2013-09-02,20443,9,1660,231,7,35,22385
2013-09-03,18728,10,1789,218,8,32,20785
2013-09-04,17833,24,1980,245,12,30,20124
2013-09-05,20281,9,2088,237,13,31,22659
2013-09-06,20340,10,2131,235,9,34,22759
2013-09-07,23932,12,1166,281,7,37,25435
2013-09-08,20042,12,353,312,6,31,20756
2013-09-09,19066,11,1746,243,6,32,21104
2013-09-10,17892,12,2146,249,9,33,20341
2013-09-11,18816,7,2157,265,12,31,21288
2013-09-12,19984,12,2356,274,10,30,22666
2013-09-13,20840,9,2134,304,6,32,23325
2013-09-14,23997,10,1091,330,9,33,25470
2013-09-15,21506,13,395,305,6,30,22255
2013-09-16,18500,12,1736,281,6,31,20566
