,Cestovni,Željeznički,Riječni,Pomorski,Zračni,UKUPNO
2013-01-01,32318,933,0,0,1342,34593
2013-01-02,50731,1221,0,0,1452,53404
2013-01-03,45107,751,0,37,1018,46913
2013-01-04,45104,567,0,19,1059,46749
2013-01-05,58254,600,0,41,881,59776
2013-01-06,44567,452,0,19,1133,46171
2013-01-07,39502,535,0,0,944,40981
2013-01-08,39168,481,0,59,791,40499
2013-01-09,41100,400,0,3,900,42403
2013-01-10,47209,393,0,38,1005,48645
2013-01-11,48917,342,0,3,1123,50385
2013-01-12,71882,466,0,54,1158,73560
2013-01-13,41454,418,0,0,1318,43190
2013-01-14,32155,361,0,0,780,33296
2013-01-15,34251,354,0,42,731,35378
2013-01-16,36878,384,0,0,943,38205
2013-01-17,33917,314,0,2,760,34993
2013-01-18,37589,335,0,2,960,38886
2013-01-19,46038,321,0,63,991,47413
2013-01-20,38056,403,0,0,785,39244
2013-01-21,38248,376,0,0,845,39469
2013-01-22,37155,373,0,33,706,38267
2013-01-23,37111,340,0,44,843,38338
2013-01-24,36817,350,0,10,671,37848
2013-01-25,41424,290,0,0,1157,42871
2013-01-26,43561,422,0,58,1153,45194
2013-01-27,38489,384,0,2,1020,39895
2013-01-28,36586,337,0,7,1124,38054
2013-01-29,34021,346,0,50,625,35042
2013-01-30,38809,337,0,10,863,40019
2013-01-31,42335,353,0,9,897,43594
2013-02-01,45613,404,0,1,1280,47298
2013-02-02,49706,344,0,50,753,50853
2013-02-03,43906,393,0,1000000,777,1045076
2013-02-04,40797,404,0,18,722,41941
2013-02-05,37738,440,0,45,596,38819
2013-02-06,35000,393,0,25,770,36188
2013-02-07,40475,320,0,12,852,41659
2013-02-08,42800,343,0,1,1167,44311
2013-02-09,49531,336,0,44,875,50786
2013-02-10,40098,430,0,8,908,41444
2013-02-11,42195,299,0,0,783,43277
2013-02-12,34058,372,0,36,607,35073
2013-02-13,32970,320,0,1,804,34095
2013-02-14,36194,388,0,3,811,37396
2013-02-15,42473,347,0,25,1047,43892
2013-02-16,51776,284,0,43,909,53012
2013-02-17,41410,312,0,0,1103,42825
2013-02-18,39702,302,0,9,815,40828
2013-02-19,40265,307,0,54,736,41362
2013-02-20,36964,344,0,40,874,38222
2013-02-21,39162,397,0,2,1013,40574
2013-02-22,39857,380,0,2,1207,41446
2013-02-23,42388,331,0,81,885,43685
2013-02-24,40661,378,0,0,1157,42196
2013-02-25,39592,336,0,0,1026,40954
2013-02-26,37603,335,0,56,736,38730
2013-02-27,39193,359,0,7,875,40434
2013-02-28,42393,291,0,4,1015,43703
2013-03-01,47275,327,0,0,1186,48788
2013-03-02,50424,355,0,52,1025,51856
2013-03-03,47499,405,0,8,1243,49155
2013-03-04,42958,312,0,15,955,44240
2013-03-05,40034,338,0,47,785,41204
2013-03-06,40804,297,0,14,957,42072
2013-03-07,43006,319,0,3,1104,44432
2013-03-08,48720,301,0,5,1337,50363
2013-03-09,55804,317,0,47,1113,57281
2013-03-10,44330,494,0,0,1223,46047
2013-03-11,43182,343,0,2,987,44514
2013-03-12,40936,292,0,47,723,41998
2013-03-13,41471,271,0,3,985,42730
2013-03-14,37551,283,0,33,1276,39143
2013-03-15,45092,259,0,11,1481,46843
2013-03-16,60457,283,0,89,1226,62055
2013-03-17,46848,380,0,2,1251,48481
2013-03-18,40948,327,0,3,1128,42406
