Published,Year,Quarter,Earnings,Sales
2013-04-25,2013,1,-13731874,414418
2013-07-29,2013,2,-2065164,22564796
2013-10-29,2013,3,51857350,89323441
2014-03-31,2013,4,-23167162,3165854
2014-04-24,2014,1,-13654727,380729
2014-07-29,2014,2,-1845925,24689922
2014-10-29,2014,3,47134349,85495738
2015-03-26,2014,4,-19919032,3073292
2015-04-28,2015,1,-12822056,595882
2015-07-29,2015,2,-687652,25747131
2015-10-29,2015,3,52325644,92983157
2016-03-24,2015,4,-21692403,2664019
2016-04-25,2016,1,-13205032,700208
2016-07-28,2016,2,-1593467,25998507
2016-10-26,2016,3,57376528,99075018
2017-02-23,2016,4,-34944556,5391727
2017-04-28,2017,1,-12554636,2296324
2017-07-27,2017,2,1217147,32922596
2017-10-27,2017,3,59243365,110962530
2018-02-27,2017,4,-32667543,6190976
2018-04-26,2018,1,-14729026,2893791
2018-07-30,2018,2,1692864,36834009
2018-10-26,2018,3,63193779,123409540
2019-02-27,2018,4,-31312043,5407330
2019-04-30,2019,1,-20015936,2460690
2019-07-31,2019,2,-3403929.23066667,46002748
2019-10-31,2019,3,86626072.2306667,194139925
2020-02-27,2019,4,-3674498,14851123
2020-04-29,2020,1,-40714050,2957992
2020-07-30,2020,2,6867401,6472271
2020-10-30,2020,3,11617089,80737470
2021-02-26,2020,4,-16623510,-130099
2021-04-30,2021,1,-16639655,2425674
2021-07-30,2021,2,-10665501,32149190
2021-10-29,2021,3,98414324,233434478
2022-02-25,2021,4,-55548569,12890982
2022-04-29,2022,1,-49621674,12157559
2022-07-29,2022,2,633472,142316432
2022-10-31,2022,3,149124687,395205760
