Published,Year,Quarter,Earnings,Sales
2013-05-02,2013,1,-76318140,15046453
2013-07-30,2013,2,27885165,159754534
2013-10-31,2013,3,203743436,486775127
2014-02-14,2013,4,-79731141,29226207
2014-04-30,2014,1,-75218664,15536876
2014-07-31,2014,2,14002430,187573017
2014-10-31,2014,3,265867307,506769658
2015-02-13,2014,4,-105949106,34834592
2015-04-30,2015,1,-76534435,23527680
2015-07-31,2015,2,36341247,234131952
2015-10-30,2015,3,286192340,594325144
2016-02-29,2015,4,-136823517,46807841
2016-04-29,2016,1,-81754535,34077649
2016-07-29,2016,2,40836105,238536260
2016-10-25,2016,3,318178193,652491939
2017-02-28,2016,4,-135708264,58599563
2017-04-24,2017,1,-82526326.871,32632504
2017-07-28,2017,2,43571434,278947102
2017-10-26,2017,3,354048940,724139837
2018-04-26,2017,4,-158872767,64846128
2018-04-30,2018,1,-75127250,44597751
2018-07-26,2018,2,41047952,308614590
2018-10-25,2018,3,390513314,756740838
2019-04-25,2018,4,-68371359,77899168
2019-04-30,2019,1,-49220284,51602032
2019-07-26,2019,2,42987754,351481794
2019-10-29,2019,3,376337951,779315180
2020-04-27,2019,4,-210458925,75770837
2020-04-29,2020,1,-89817071,35888646
2020-07-31,2020,2,-78516246,47687836
2020-10-29,2020,3,138414845,398184202
2021-04-13,2020,4,-94282315,28473248
2021-04-29,2021,1,-87963157,27870442
2021-07-29,2021,2,1934067,213984291
2021-10-28,2021,3,447600600,822393158
2022-04-13,2021,4,-193396710,77915481
2022-04-28,2022,1,-89904203,63095373
2022-07-27,2022,2,59457338,422764134
2022-10-28,2022,3,436321978,939525096
