Published,Year,Quarter,Earnings,Sales
2013-05-02,2013,1,-133179353.29,21954225.47
2013-07-30,2013,2,8885414.54000002,283684594.16
,2013,4,-103279758.05,55146096.59
,2014,1,-133545040.31,15943839.98
,2014,2,1517450.92999995,295918366.26
,2014,3,353654239.07,697302428.65
2015-02-13,2014,4,-169464437.42,65059004.9500001
2015-04-30,2015,1,-149269596.3,17016200.44
2015-07-31,2015,2,40008387.2,325805705
2015-10-27,2015,3,452847676.6,861540787
2016-02-15,2015,4,-238333094.5,64362244.5599999
2016-04-28,2016,1,-95261463,46053862
2016-07-26,2016,2,94041868.7,373594742.44
2016-10-27,2016,3,499929730.2,962848167
2017-02-27,2016,4,-156396358.9,72370967.5599999
2017-04-28,2017,1,-139647931,27913573
2017-07-27,2017,2,93785423.7,484194996.44
2017-10-27,2017,3,529035941.89,1153019627
2018-02-28,2017,4,-240026352.69,90158525
2018-04-30,2018,1,-167892731.09,38848253.13
2018-07-30,2018,2,104556412.09,547362069.87
2018-10-26,2018,3,590287838.647733,1263473748.73
2019-02-27,2018,4,-291614236.647733,111729559.27
2019-04-30,2019,1,-235027406,46172102
2019-07-31,2019,2,74577915,616482075
2019-10-31,2019,3,623628076,1354938794
2020-02-28,2019,4,-178642645,121726773
2020-04-30,2020,1,-289721413,41384174
2020-07-31,2020,2,-9031346,67864826
2020-10-30,2020,3,104362580,525173045
2021-02-26,2020,4,-135203327,8056412
2021-04-30,2021,1,-116451834,19822251
2021-07-30,2021,2,-41661871,229211832
2021-10-29,2021,3,479983088,1264894103
2022-02-25,2021,4,-217494776,91199674
2022-04-29,2022,1,-172353955,48309913
2022-07-29,2022,2,7002138,613072934
2022-10-31,2022,3,579397542,1636601196
