,osobni automobili,vlakovi,teretna vozila,autobusi,plovila,zrakoplovi,UKUPNO
2013-01-01,22074,7,185,287,8,18,22579
2013-01-02,31509,7,957,560,16,26,33075
2013-01-03,24203,7,1161,534,10,23,25938
2013-01-04,35534,10,912,373,14,16,36859
2013-01-05,42419,8,913,503,14,13,43870
2013-01-06,35384,5,491,588,6,17,36491
2013-01-07,21680,8,1589,232,11,20,23540
2013-01-08,23841,8,1671,259,5,15,25799
2013-01-09,18959,6,1288,316,9,21,20599
2013-01-10,19630,11,1351,335,9,18,21354
2013-01-11,21842,11,1106,382,7,23,23371
2013-01-12,24282,9,569,328,8,15,25211
2013-01-13,21563,6,536,430,5,18,22558
2013-01-14,15556,6,938,237,6,16,16759
2013-01-15,15568,9,2095,308,5,17,18002
2013-01-16,16740,10,1587,282,5,18,18642
2013-01-17,15427,10,1419,314,5,12,17187
2013-01-18,17881,9,1010,583,12,18,19513
2013-01-19,19543,9,649,332,3,16,20552
2013-01-20,18928,5,649,404,2,18,20006
2013-01-21,18554,6,1684,231,7,12,20494
2013-01-22,16041,11,2106,281,5,15,18459
2013-01-23,16501,12,1736,282,9,16,18556
2013-01-24,17385,12,1568,277,7,17,19266
2013-01-25,17875,8,1016,275,13,22,19209
2013-01-26,18937,9,624,346,13,16,19945
2013-01-27,19865,7,665,368,6,19,20930
2013-01-28,16815,10,1858,220,11,19,18933
2013-01-29,16186,10,1719,246,8,15,18184
2013-01-30,17663,9,1861,297,11,18,19859
2013-01-31,19429,6,1690,303,13,18,21459
2013-02-01,21659,14,1364,315,10,19,23381
2013-02-02,19720,10,678,351,5,16,20780
2013-02-03,19105,6,746,290,5,20,20172
2013-02-04,18597,8,1985,211,6,21,20828
2013-02-05,17516,10,1700,267,7,15,19515
2013-02-06,16451,8,1616,315,12,16,18418
2013-02-07,18758,10,1688,260,13,13,20742
2013-02-08,22040,10,1113,283,13,17,23476
2013-02-09,21689,8,973,382,14,13,23079
2013-02-10,23719,9,541,420,7,19,24715
2013-02-11,18499,8,1985,260,8,21,20781
2013-02-12,15260,6,1778,254,2,15,17315
2013-02-13,16071,8,1727,298,10,14,18128
2013-02-14,17815,6,1618,274,9,17,19739
2013-02-15,18576,11,1711,259,19,22,20598
2013-02-16,21760,7,905,297,6,17,22992
2013-02-17,24264,8,700,400,5,18,25395
2013-02-18,18888,8,2229,265,9,17,21416
2013-02-19,17374,11,1877,236,16,14,19528
2013-02-20,16787,8,2003,288,13,20,19119
2013-02-21,17323,9,1785,305,13,15,19450
2013-02-22,18892,11,1412,351,11,18,20695
2013-02-23,16775,7,714,334,9,11,17850
2013-02-24,19669,7,664,387,3,21,20751
2013-02-25,17853,8,1979,273,4,17,20134
2013-02-26,17033,11,1802,282,13,17,19158
2013-02-27,18388,8,1839,303,6,15,20559
