,Cestovni,Željeznički,Riječni,Pomorski,Zračni,UKUPNO
2013-01-01,65594,1216,0,218,2126,69154
2013-01-02,95781,890,0,506,2296,99473
2013-01-03,80689,699,0,716,2000,84104
2013-01-04,107390,760,3,504,3062,111719
2013-01-05,139630,745,0,11,1511,141897
2013-01-06,117451,583,0,215,1949,120198
2013-01-07,64035,571,0,0,1677,66283
2013-01-08,69060,589,0,1,1145,70795
2013-01-09,54498,513,0,7,1109,56127
2013-01-10,58284,386,0,97,1072,59839
2013-01-11,63894,479,0,0,1432,65805
2013-01-12,71185,442,0,5,837,72469
2013-01-13,70812,468,0,113,1112,72505
2013-01-14,44019,410,0,0,954,45383
2013-01-15,47408,455,0,1,764,48628
2013-01-16,48614,408,0,2,1034,50058
2013-01-17,44653,351,0,62,805,45871
2013-01-18,56012,402,0,46,1018,57478
2013-01-19,58890,475,0,0,859,60224
2013-01-20,60832,427,0,77,1426,62762
2013-01-21,54248,422,0,0,591,55261
2013-01-22,47913,425,0,0,730,49068
2013-01-23,46665,416,0,4,910,47995
2013-01-24,50912,442,0,84,918,52356
2013-01-25,50427,375,0,49,1190,52041
2013-01-26,57218,459,0,1,852,58530
2013-01-27,60576,473,0,69,1755,62873
2013-01-28,46028,457,0,4,1452,47941
2013-01-29,43983,436,0,2,715,45136
2013-01-30,49738,392,0,46,967,51143
2013-01-31,55356,396,0,58,897,56707
2013-02-01,59415,434,0,0,1171,61020
2013-02-02,57570,407,0,1,658,58636
2013-02-03,59116,450,0,137,1201,60904
2013-02-04,51391,461,0,1,898,52751
2013-02-05,50154,437,0,2,830,51423
2013-02-06,45068,438,0,1,1000,46507
2013-02-07,52810,339,0,72,1149,54370
2013-02-08,60727,409,0,51,1292,62479
2013-02-09,63872,410,0,7,791,65080
2013-02-10,73074,589,0,73,1256,74992
2013-02-11,49980,316,0,49,956,51301
2013-02-12,44340,386,0,0,511,45237
2013-02-13,47957,405,0,0,931,49293
2013-02-14,47923,602,0,43,1063,49631
2013-02-15,52065,425,0,113,1396,53999
2013-02-16,62701,383,0,2,983,64069
2013-02-17,75172,422,0,93,1574,77261
2013-02-18,54244,321,0,0,1119,55684
2013-02-19,47514,337,0,7,809,48667
2013-02-20,48025,373,0,55,1224,49677
2013-02-21,52819,379,0,108,1195,54501
2013-02-22,53755,463,0,12,1728,55958
2013-02-23,51292,391,0,0,883,52566
2013-02-24,57830,409,0,56,1831,60126
2013-02-25,52123,373,0,0,1167,53663
2013-02-26,47399,378,0,0,779,48556
2013-02-27,54044,351,0,9,1041,55445
2013-02-28,59741,364,0,98,1122,61325
2013-03-01,71910,388,0,47,1522,73867
2013-03-02,66584,366,0,7,1098,68055
2013-03-03,85549,404,0,190,1922,88065
2013-03-04,60667,344,0,49,1209,62269
2013-03-05,53103,370,0,0,772,54245
2013-03-06,54564,267,0,0,1322,56153
2013-03-07,56135,379,0,162,1336,58012
2013-03-08,67517,354,0,51,1778,69700
2013-03-09,66444,362,0,10,922,67738
2013-03-10,83169,382,0,129,1864,85544
2013-03-11,57030,330,0,1,1371,58732
2013-03-12,53813,400,0,146,987,55346
2013-03-13,53690,352,0,9,1307,55358
2013-03-14,47257,397,2,90,1708,49454
2013-03-15,66329,361,0,6,1856,68552
2013-03-16,74515,324,0,31,1207,76077
2013-03-17,87623,468,0,256,2087,90434
2013-03-18,55137,377,0,0,1418,56932
2013-03-19,56080,326,0,948,326,57680
2013-03-20,57827,338,0,11,1358,59534
2013-03-21,58889,558,0,122,198,59767
2013-03-22,81326,514,0,22,1980,83842
2013-03-23,91911,412,160,3852,1605,97940
2013-03-24,84255,380,0,257,2062,86954
2013-03-25,50425,425,0,0,1559,52409
2013-03-26,53642,478,0,207,1441,55768
2013-03-27,71008,506,0,74,1713,73301
2013-03-28,87687,532,0,273,1391,89883
2013-03-29,115346,708,0,3949,1804,121807
2013-03-30,82423,574,0,5247,1633,89877
2013-03-31,76936,358,0,3187,2969,83450
2013-04-01,134117,496,180,1280,3810,139883
2013-04-02,95220,529,0,1888,3351,100988
2013-04-03,66951,503,0,1964,2372,71790
2013-04-04,65308,365,256,425,2252,68606
2013-04-05,76086,462,125,6124,3264,86061
2013-04-06,99291,600,275,6055,3946,110167
2013-04-07,103905,561,0,3013,4046,111525
2013-04-08,58673,414,173,300,3757,63317
2013-04-09,57087,443,0,89,3012,60631
2013-04-10,63973,437,0,147,2568,67125
2013-04-11,64406,533,166,966,2488,68559
2013-04-12,72050,568,0,5286,1650,79554
2013-04-13,84656,471,91,6916,4116,96250
2013-04-14,117672,863,94,2807,3521,124957
2013-04-15,63751,531,285,1019,3323,68909
2013-04-16,54699,495,0,197,3053,58444
2013-04-17,65782,420,64,1587,2592,70445
2013-04-18,71064,430,181,1928,1296,74899
2013-04-19,74507,402,141,3995,3484,82529
2013-04-20,88656,437,0,6734,5071,100898
2013-04-21,122633,566,135,3601,4233,131168
2013-04-22,68181,518,310,1798,3343,74150
2013-04-23,63375,404,0,357,3078,67214
2013-04-24,69630,461,0,854,3279,74224
2013-04-25,89947,575,465,3302,3070,97359
2013-04-26,98854,583,0,5880,5007,110324
2013-04-27,142877,812,155,7481,8730,160055
2013-04-28,136898,587,159,8942,4626,151212
2013-04-29,92665,554,133,539,4190,98081
2013-04-30,110908,542,0,1877,3582,116909
2013-05-01,135944,650,0,2493,3660,142747
2013-05-02,125101,434,325,8710,3180,137750
2013-05-03,113835,479,320,7822,3912,126368
2013-05-04,192651,645,0,10049,11359,214704
2013-05-05,204193,842,0,8092,7460,220587
2013-05-06,97533,563,281,2592,5407,106376
2013-05-07,74412,552,118,5362,4627,85071
2013-05-08,72774,606,204,2795,4683,81062
2013-05-09,97923,424,0,9825,5017,113189
2013-05-10,91042,522,268,7501,5930,105263
2013-05-11,104863,899,0,7109,14974,127845
2013-05-12,164804,875,0,11386,9117,186182
2013-05-13,78984,555,0,574,6890,87003
2013-05-14,69343,498,158,1169,5591,76759
2013-05-15,71960,666,82,1159,4411,78278
2013-05-16,83030,584,173,4014,5087,92888
2013-05-17,103648,530,214,9969,5000,119361
2013-05-18,106508,580,288,7032,13298,127706
2013-05-19,115210,1018,0,8100,7547,131875
2013-05-20,118759,682,181,3331,4733,127686
2013-05-21,90649,612,86,6653,6839,104839
2013-05-22,80296,601,139,3990,5574,90600
2013-05-23,81693,548,138,7734,4890,95003
2013-05-24,106920,560,121,7976,5553,121130
2013-05-25,112146,917,116,11232,16046,140457
2013-05-26,118345,761,0,10259,8714,138079
2013-05-27,79605,708,321,6494,6268,93396
2013-05-28,75681,593,69,1156,7195,84694
2013-05-29,92195,618,214,2683,6751,102461
2013-05-30,112614,437,341,6185,5689,125266
2013-05-31,110065,593,132,10521,6214,127525
2013-06-01,128455,610,131,10428,17805,157429
2013-06-02,180195,721,243,7290,9570,198019
2013-06-03,91618,718,523,5419,6988,105266
2013-06-04,83061,601,103,3515,6757,94037
2013-06-05,77268,617,444,4759,6227,89315
2013-06-06,82669,605,0,4119,4148,91541
2013-06-07,100611,621,0,7163,5608,114003
2013-06-08,122841,784,84,10097,18540,152346
2013-06-09,163898,733,0,7006,10395,182032
2013-06-10,88297,612,0,3262,7434,99605
2013-06-11,78695,675,0,4525,6739,90634
2013-06-12,77169,642,0,965,6697,85473
2013-06-13,88876,676,0,1465,7013,98030
2013-06-14,117326,724,0,14665,6447,139162
2013-06-15,139813,819,0,11664,20858,173154
2013-06-16,198428,947,0,12786,10447,222608
2013-06-17,100264,924,0,2199,7282,110669
2013-06-18,91398,746,0,7170,7439,106753
2013-06-19,94460,960,0,2917,7555,105892
2013-06-20,107001,807,0,5779,7361,120948
2013-06-21,142242,803,0,6958,8437,158440
2013-06-22,188611,1201,0,12702,22265,224779
2013-06-23,190954,1192,61,11614,11388,215209
2013-06-24,125345,862,0,5012,7638,138857
2013-06-25,135118,909,336,4331,8599,149293
2013-06-26,112025,859,103,4368,8663,126018
2013-06-27,115243,970,275,2004,9536,128028
2013-06-28,145159,775,0,12208,8241,166383
2013-06-29,205066,1115,225,9500,24205,240111
2013-06-30,228298,1496,165,16552,12192,258703
2013-07-01,123826,1022,181,2244,8693,135966
2013-07-02,107099,587,337,7525,9466,125014
2013-07-03,107259,783,0,5924,9786,123752
2013-07-04,119505,899,160,4706,9653,134923
2013-07-05,173211,1003,3,10751,8634,193602
2013-07-06,254136,677,87,9814,24377,289091
2013-07-07,255384,1353,109,12249,13614,282709
2013-07-08,156476,1114,418,5564,10392,173964
2013-07-09,133624,871,0,2219,10962,147676
2013-07-10,133987,1210,112,2983,10798,149090
2013-07-11,154061,1369,423,2428,11822,170103
2013-07-12,178242,834,317,10635,10534,200562
2013-07-13,271984,996,0,9598,25327,307905
2013-07-14,285811,1806,0,16271,14438,318326
2013-07-15,156867,1272,288,7311,11838,177576
2013-07-16,136188,856,0,6587,12409,156040
2013-07-17,157907,1416,131,6601,11781,177836
2013-07-18,164771,1189,179,5218,12718,184075
2013-07-19,197655,1377,163,7843,10566,217604
2013-07-20,330665,1268,351,8133,26354,366771
2013-07-21,339757,2097,0,11056,14003,366913
2013-07-22,192083,1071,3,2717,12152,208026
2013-07-23,126438,927,157,3022,13379,143923
2013-07-24,171223,1166,0,7706,12953,193048
2013-07-25,218080,1605,140,1941,14175,235941
2013-07-26,261584,1693,0,11751,10928,285956
2013-07-27,368805,1926,149,9237,27634,407751
2013-07-28,346449,2527,0,15752,15638,380366
2013-07-29,210506,1414,139,6523,12784,231366
2013-07-30,182846,1135,0,8185,13800,205966
2013-07-31,189947,1778,0,3907,13489,209121
2013-08-01,229717,1374,0,7450,14561,253102
2013-08-02,330600,1679,123,17306,11147,360855
2013-08-03,436100,2079,0,10033,27258,475470
2013-08-04,368243,2488,285,10337,15161,396514
2013-08-05,217563,1555,0,9543,12580,241241
2013-08-06,212045,1629,198,4268,14546,232686
2013-08-07,186374,1548,0,6431,13400,207753
2013-08-08,193457,2031,0,5805,14971,216264
2013-08-09,282357,1184,1,8198,12223,303963
2013-08-10,432757,1602,170,9742,27675,471946
2013-08-11,352829,2425,149,19702,17286,392391
2013-08-12,202364,1317,306,4251,13586,221824
2013-08-13,192970,1218,100,8395,14159,216842
2013-08-14,244652,1567,149,4168,13642,264178
2013-08-15,257729,2127,0,6007,17509,283372
2013-08-16,304896,1618,147,12095,12427,331183
2013-08-17,437895,2022,274,15712,28168,484071
2013-08-18,433566,1824,0,16939,15910,468239
2013-08-19,235409,1809,327,6593,12823,256961
2013-08-20,189997,1903,76,10579,13508,216063
2013-08-21,180507,1471,158,5138,13285,200559
2013-08-22,208646,1446,188,11239,13538,235057
2013-08-23,285569,1192,96,12878,11914,311649
2013-08-24,428957,1806,0,16634,27152,474549
2013-08-25,374129,1717,118,22842,15427,414233
2013-08-26,187616,1153,319,3978,11942,205008
2013-08-27,165332,1814,0,10064,13956,191166
2013-08-28,159374,1334,414,5589,12597,179308
2013-08-29,188349,1218,182,9206,13616,212571
2013-08-30,252389,1057,0,14134,11451,279031
2013-08-31,346657,2200,271,10933,27723,387784
2013-09-01,365526,1680,83,12040,15248,394577
2013-09-02,174720,1134,154,3726,10096,189830
2013-09-03,133018,1856,281,3487,10502,149144
2013-09-04,138357,1194,135,4143,10460,154289
2013-09-05,158452,621,0,3879,10678,173630
2013-09-06,190338,865,0,13897,9226,214326
2013-09-07,252025,1918,158,11732,24461,290294
2013-09-08,279276,1664,0,14450,13609,308999
2013-09-09,1140792,1023,389,4841,9440,1156485
2013-09-10,124501,800,120,10678,9889,145988
2013-09-11,127502,769,0,5861,10390,144522
2013-09-12,120644,1245,0,5580,9700,137169
2013-09-13,145470,1066,437,12667,9285,168925
2013-09-14,193162,1316,0,10160,25965,230603
2013-09-15,207158,1068,169,8713,14104,231212
2013-09-16,109163,913,0,5650,10018,125744
2013-09-17,100822,1038,301,2292,9876,114329
2013-09-18,103649,750,244,7751,8687,121081
2013-09-19,113516,892,0,7000,10305,131713
2013-09-20,134542,954,148,9723,8846,154213
2013-09-21,178885,989,137,9555,25119,214685
2013-09-22,175401,846,0,13576,13295,203118
2013-09-23,105272,824,257,5719,9410,121482
2013-09-24,90791,1022,224,5691,9411,107139
2013-09-25,94286,642,0,2917,7619,105464
2013-09-26,110345,895,0,5362,9842,126444
2013-09-27,138550,833,0,10278,8877,158538
2013-09-28,156356,982,137,8044,21756,187275
2013-09-29,153057,864,376,12222,13209,179728
2013-09-30,97129,577,323,2000,8777,108806
2013-10-01,88457,815,138,2664,7964,100038
