,osobni automobili,vlakovi,teretna vozila,autobusi,plovila,zrakoplovi,UKUPNO
2013-01-01,20674,6,686,255,5,18,21644
2013-01-02,29674,11,1551,439,10,23,31708
2013-01-03,27661,10,1984,436,13,23,30127
2013-01-04,32659,13,1927,345,11,16,34971
2013-01-05,39205,9,1222,472,12,14,40934
2013-01-06,30558,7,1243,506,8,16,32338
2013-01-07,22515,11,2211,277,6,20,25040
2013-01-08,21841,11,2732,261,4,16,24865
2013-01-09,21762,11,3148,307,11,20,25259
2013-01-10,20608,12,2912,341,8,19,23900
2013-01-11,24338,14,2682,338,10,20,27402
2013-01-12,25194,13,1729,331,8,17,27292
2013-01-13,20763,9,1604,407,3,20,22806
2013-01-14,15179,9,2093,241,6,20,17548
2013-01-15,16345,12,3262,254,3,18,19894
2013-01-16,16389,12,3426,306,6,18,20157
2013-01-17,14871,9,3157,308,7,13,18365
2013-01-18,19030,13,2618,298,8,15,21982
2013-01-19,20017,14,2000,341,8,16,22396
2013-01-20,17413,8,1740,381,1,17,19560
2013-01-21,17580,8,3474,221,10,12,21305
2013-01-22,16997,15,3320,246,5,17,20600
2013-01-23,17440,12,3369,306,10,18,21155
2013-01-24,18159,15,3354,290,8,12,21838
2013-01-25,18038,11,2283,241,9,20,20602
2013-01-26,19219,12,2016,337,9,16,21609
2013-01-27,19224,9,1955,328,5,19,21540
2013-01-28,17936,14,3200,239,15,21,21425
2013-01-29,15650,13,3508,208,10,14,19403
2013-01-30,17908,12,3359,294,6,16,21595
2013-01-31,18760,10,3611,323,14,18,22736
2013-02-01,21986,17,2833,299,13,17,25165
2013-02-02,20121,13,1985,331,1,16,22467
2013-02-03,17851,7,1302,413,5,21,19599
2013-02-04,19473,9,3107,235,12,22,22858
2013-02-05,18223,12,3682,226,13,14,22170
2013-02-06,16738,12,3530,310,10,17,20617
2013-02-07,19757,14,3039,267,12,13,23102
2013-02-08,25369,14,2312,310,5,17,28027
2013-02-09,21022,12,2315,383,13,14,23759
2013-02-10,21662,11,1647,377,7,19,23723
