,Cestovni,Željeznički,Riječni,Pomorski,Zračni,UKUPNO
2013-01-01,57075,1473,0,6,246,58800
2013-01-02,85978,697,0,9,1176,87860
2013-01-03,86218,689,0,148,974,88029
2013-01-04,98113,595,3,20,1114,99845
2013-01-05,126382,735,0,61,753,127931
2013-01-06,99651,779,0,103,1054,101587
2013-01-07,63692,601,0,0,1129,65422
2013-01-08,63148,550,0,44,688,64430
2013-01-09,62144,484,0,5,780,63413
2013-01-10,59332,402,0,5,692,60431
2013-01-11,72395,379,0,2,1015,73791
2013-01-12,78583,456,0,96,675,79810
2013-01-13,63194,352,0,1,1086,64633
2013-01-14,43153,380,0,0,1282,44815
2013-01-15,46485,379,0,56,719,47639
2013-01-16,47221,374,0,2,958,48555
2013-01-17,43483,316,0,0,904,44703
2013-01-18,55087,375,0,0,839,56301
2013-01-19,61785,421,0,130,758,63094
2013-01-20,54791,398,0,0,1207,56396
2013-01-21,51177,410,0,0,1358,52945
2013-01-22,47791,438,0,400,1235,49864
2013-01-23,49262,417,0,47,1192,50918
2013-01-24,52387,413,0,0,1090,53890
2013-01-25,50119,370,0,2,1118,51609
2013-01-26,58758,531,0,147,607,60043
2013-01-27,56531,417,0,0,1058,58006
2013-01-28,48220,385,0,8,1173,49786
2013-01-29,43256,442,0,92,753,44543
2013-01-30,49405,416,0,46,934,50801
2013-01-31,54751,403,0,1,824,55979
2013-02-01,61094,420,0,44,1000,62558
2013-02-02,58735,420,0,103,772,60030
2013-02-03,52177,434,0,0,1318,53929
2013-02-04,54049,413,0,10,1502,55974
2013-02-05,50854,450,0,71,825,52200
2013-02-06,46456,395,0,4,988,47843
2013-02-07,56371,338,0,11,1032,57752
2013-02-08,71641,359,0,2,1261,73263
2013-02-09,62429,431,0,132,852,63844
2013-02-10,62781,503,0,0,1247,64531
2013-02-11,49326,322,1,0,1293,50942
2013-02-12,45725,370,0,80,770,46945
2013-02-13,48282,374,0,53,1021,49730
2013-02-14,52512,439,0,0,905,53856
2013-02-15,59846,500,0,7,1470,61823
2013-02-16,71333,344,0,134,859,72670
2013-02-17,64288,348,0,0,1520,66156
2013-02-18,58274,334,0,2,1483,60093
2013-02-19,45834,295,0,202,852,47183
2013-02-20,49850,338,0,4,1148,51340
2013-02-21,53418,398,0,4,1034,54854
2013-02-22,58742,429,0,49,1676,60896
2013-02-23,56998,358,0,117,868,58341
2013-02-24,58626,425,0,0,1171,60222
2013-02-25,49242,364,0,7,1280,50893
2013-02-26,50274,368,0,158,1061,51861
2013-02-27,54710,344,0,5,1302,56361
2013-02-28,60202,341,0,3,1609,62155
2013-03-01,79956,427,0,0,1581,81964
2013-03-02,68264,427,0,119,958,69768
2013-03-03,82890,417,0,55,1553,84915
2013-03-04,62253,337,0,0,1574,64164
2013-03-05,55682,338,0,144,1151,57315
2013-03-06,54545,260,0,3,1292,56100
2013-03-07,60127,349,0,0,1172,61648
2013-03-08,80578,361,0,62,1612,82613
2013-03-09,69061,371,0,97,1011,70540
2013-03-10,72971,408,0,19,1743,75141
2013-03-11,57704,386,0,0,1478,59568
2013-03-12,56778,374,0,82,1041,58275
2013-03-13,56362,350,2,1,1302,58017
2013-03-14,51478,333,0,376,1474,53661
2013-03-15,75094,366,0,23,1842,77325
2013-03-16,82385,347,0,837,956,84525
2013-03-17,72616,419,0,16,1726,74777
2013-03-18,54866,443,0,0,1721,57030
2013-03-19,55542,341,0,150,423,56456
2013-03-20,61705,352,0,11,1835,63903
